topic,cntry,year,attitude,dweight
atchctr,AT,2002,0,0
atchctr,AT,2002,1,0
atchctr,AT,2002,2,0
atchctr,AT,2002,3,0
atchctr,AT,2002,4,0
atchctr,AT,2002,5,0
atchctr,AT,2002,6,0
atchctr,AT,2002,7,0
atchctr,AT,2002,8,0
atchctr,AT,2002,9,0
atchctr,AT,2002,10,0
atchctr,AT,2002,NA,2256.9962
atchctr,AT,2004,0,0
atchctr,AT,2004,1,0
atchctr,AT,2004,2,0
atchctr,AT,2004,3,0
atchctr,AT,2004,4,0
atchctr,AT,2004,5,0
atchctr,AT,2004,6,0
atchctr,AT,2004,7,0
atchctr,AT,2004,8,0
atchctr,AT,2004,9,0
atchctr,AT,2004,10,0
atchctr,AT,2004,NA,2256.0393
atchctr,AT,2006,0,0
atchctr,AT,2006,1,0
atchctr,AT,2006,2,0
atchctr,AT,2006,3,0
atchctr,AT,2006,4,0
atchctr,AT,2006,5,0
atchctr,AT,2006,6,0
atchctr,AT,2006,7,0
atchctr,AT,2006,8,0
atchctr,AT,2006,9,0
atchctr,AT,2006,10,0
atchctr,AT,2006,NA,2405.0115
atchctr,AT,2008,0,0
atchctr,AT,2008,1,0
atchctr,AT,2008,2,0
atchctr,AT,2008,3,0
atchctr,AT,2008,4,0
atchctr,AT,2008,5,0
atchctr,AT,2008,6,0
atchctr,AT,2008,7,0
atchctr,AT,2008,8,0
atchctr,AT,2008,9,0
atchctr,AT,2008,10,0
atchctr,AT,2008,NA,0
atchctr,AT,2010,0,0
atchctr,AT,2010,1,0
atchctr,AT,2010,2,0
atchctr,AT,2010,3,0
atchctr,AT,2010,4,0
atchctr,AT,2010,5,0
atchctr,AT,2010,6,0
atchctr,AT,2010,7,0
atchctr,AT,2010,8,0
atchctr,AT,2010,9,0
atchctr,AT,2010,10,0
atchctr,AT,2010,NA,0
atchctr,AT,2012,0,0
atchctr,AT,2012,1,0
atchctr,AT,2012,2,0
atchctr,AT,2012,3,0
atchctr,AT,2012,4,0
atchctr,AT,2012,5,0
atchctr,AT,2012,6,0
atchctr,AT,2012,7,0
atchctr,AT,2012,8,0
atchctr,AT,2012,9,0
atchctr,AT,2012,10,0
atchctr,AT,2012,NA,0
atchctr,AT,2014,0,0
atchctr,AT,2014,1,0
atchctr,AT,2014,2,0
atchctr,AT,2014,3,0
atchctr,AT,2014,4,0
atchctr,AT,2014,5,0
atchctr,AT,2014,6,0
atchctr,AT,2014,7,0
atchctr,AT,2014,8,0
atchctr,AT,2014,9,0
atchctr,AT,2014,10,0
atchctr,AT,2014,NA,1795
atchctr,AT,2016,0,12.559752523899082
atchctr,AT,2016,1,10.186992049217213
atchctr,AT,2016,2,17.798166483640685
atchctr,AT,2016,3,42.9594939649105
atchctr,AT,2016,4,45.43541204929352
atchctr,AT,2016,5,133.5895092189312
atchctr,AT,2016,6,178.59174010157582
atchctr,AT,2016,7,320.67413377761835
atchctr,AT,2016,8,404.37256139516825
atchctr,AT,2016,9,317.74975958466524
atchctr,AT,2016,10,521.9282115399836
atchctr,AT,2016,NA,4.154267042875289
atchctr,AT,2018,0,11.595845873346457
atchctr,AT,2018,1,6.857850355823671
atchctr,AT,2018,2,15.80869539700259
atchctr,AT,2018,3,35.033334260281606
atchctr,AT,2018,4,40.969877290368444
atchctr,AT,2018,5,156.11266205890396
atchctr,AT,2018,6,113.11290352776903
atchctr,AT,2018,7,287.74828959331074
atchctr,AT,2018,8,560.3390058920952
atchctr,AT,2018,9,437.7640389197011
atchctr,AT,2018,10,829.7443367025564
atchctr,AT,2018,NA,3.913160128840714
atchctr,BE,2002,0,0
atchctr,BE,2002,1,0
atchctr,BE,2002,2,0
atchctr,BE,2002,3,0
atchctr,BE,2002,4,0
atchctr,BE,2002,5,0
atchctr,BE,2002,6,0
atchctr,BE,2002,7,0
atchctr,BE,2002,8,0
atchctr,BE,2002,9,0
atchctr,BE,2002,10,0
atchctr,BE,2002,NA,1899
atchctr,BE,2004,0,0
atchctr,BE,2004,1,0
atchctr,BE,2004,2,0
atchctr,BE,2004,3,0
atchctr,BE,2004,4,0
atchctr,BE,2004,5,0
atchctr,BE,2004,6,0
atchctr,BE,2004,7,0
atchctr,BE,2004,8,0
atchctr,BE,2004,9,0
atchctr,BE,2004,10,0
atchctr,BE,2004,NA,1778
atchctr,BE,2006,0,0
atchctr,BE,2006,1,0
atchctr,BE,2006,2,0
atchctr,BE,2006,3,0
atchctr,BE,2006,4,0
atchctr,BE,2006,5,0
atchctr,BE,2006,6,0
atchctr,BE,2006,7,0
atchctr,BE,2006,8,0
atchctr,BE,2006,9,0
atchctr,BE,2006,10,0
atchctr,BE,2006,NA,1798
atchctr,BE,2008,0,0
atchctr,BE,2008,1,0
atchctr,BE,2008,2,0
atchctr,BE,2008,3,0
atchctr,BE,2008,4,0
atchctr,BE,2008,5,0
atchctr,BE,2008,6,0
atchctr,BE,2008,7,0
atchctr,BE,2008,8,0
atchctr,BE,2008,9,0
atchctr,BE,2008,10,0
atchctr,BE,2008,NA,1760.0179
atchctr,BE,2010,0,0
atchctr,BE,2010,1,0
atchctr,BE,2010,2,0
atchctr,BE,2010,3,0
atchctr,BE,2010,4,0
atchctr,BE,2010,5,0
atchctr,BE,2010,6,0
atchctr,BE,2010,7,0
atchctr,BE,2010,8,0
atchctr,BE,2010,9,0
atchctr,BE,2010,10,0
atchctr,BE,2010,NA,1704
atchctr,BE,2012,0,0
atchctr,BE,2012,1,0
atchctr,BE,2012,2,0
atchctr,BE,2012,3,0
atchctr,BE,2012,4,0
atchctr,BE,2012,5,0
atchctr,BE,2012,6,0
atchctr,BE,2012,7,0
atchctr,BE,2012,8,0
atchctr,BE,2012,9,0
atchctr,BE,2012,10,0
atchctr,BE,2012,NA,1869
atchctr,BE,2014,0,0
atchctr,BE,2014,1,0
atchctr,BE,2014,2,0
atchctr,BE,2014,3,0
atchctr,BE,2014,4,0
atchctr,BE,2014,5,0
atchctr,BE,2014,6,0
atchctr,BE,2014,7,0
atchctr,BE,2014,8,0
atchctr,BE,2014,9,0
atchctr,BE,2014,10,0
atchctr,BE,2014,NA,1769
atchctr,BE,2016,0,59.05986928939819
atchctr,BE,2016,1,16.996176004409783
atchctr,BE,2016,2,45.02350032329558
atchctr,BE,2016,3,86.9838756322861
atchctr,BE,2016,4,74.951400578022
atchctr,BE,2016,5,191.97205895185473
atchctr,BE,2016,6,215.03609102964398
atchctr,BE,2016,7,323.995359301567
atchctr,BE,2016,8,440.006631731987
atchctr,BE,2016,9,180.940967798233
atchctr,BE,2016,10,130.0331414341927
atchctr,BE,2016,NA,1.00093305110931
atchctr,BE,2018,0,24.015419960021983
atchctr,BE,2018,1,19.946992814540874
atchctr,BE,2018,2,40.02027207612991
atchctr,BE,2018,3,67.02592015266418
atchctr,BE,2018,4,70.07199496030807
atchctr,BE,2018,5,185.2357676029206
atchctr,BE,2018,6,173.82073003053674
atchctr,BE,2018,7,374.1658207774162
atchctr,BE,2018,8,490.92058932781225
atchctr,BE,2018,9,171.93750429153448
atchctr,BE,2018,10,147.83133709430697
atchctr,BE,2018,NA,2.007655024528502
atchctr,BG,2002,0,0
atchctr,BG,2002,1,0
atchctr,BG,2002,2,0
atchctr,BG,2002,3,0
atchctr,BG,2002,4,0
atchctr,BG,2002,5,0
atchctr,BG,2002,6,0
atchctr,BG,2002,7,0
atchctr,BG,2002,8,0
atchctr,BG,2002,9,0
atchctr,BG,2002,10,0
atchctr,BG,2002,NA,0
atchctr,BG,2004,0,0
atchctr,BG,2004,1,0
atchctr,BG,2004,2,0
atchctr,BG,2004,3,0
atchctr,BG,2004,4,0
atchctr,BG,2004,5,0
atchctr,BG,2004,6,0
atchctr,BG,2004,7,0
atchctr,BG,2004,8,0
atchctr,BG,2004,9,0
atchctr,BG,2004,10,0
atchctr,BG,2004,NA,0
atchctr,BG,2006,0,0
atchctr,BG,2006,1,0
atchctr,BG,2006,2,0
